Ad ID,Country
117419203,UK
119798193,UK
121570583,UK
123200603,UK
124335683,UK
124335703,UK
124335713,UK
125256603,Sandy Ono
125256923,Sandy Ono
125258813,UK 
125259083,UK 
125273833,UK 
125274253,UK 
125282403,UK 
125282593,UK 
125284093,UK 
125284163,UK 
125284413,UK 
125284543,UK 
125285263,UK 
125285383,UK 
127770173,UK
127771813,UK
127772283,x
127772293,x
127784133,UK
127786513,UK
127787713,UK
127790013,UK
127791953,UK
127793283,UK
127793293,UK
127793303,UK
127793313,UK
127793323,UK
127800273,UK
127801193,UK
127801573,UK
127801583,UK
127805213,UK
127809973,UK
127818043,UK
127818403,UK
128748653,x
128749713,x
128771453,UK
128772273,UK
128774513,UK
128774773,UK
128775103,UK
128775543,UK
128775913,UK
128775953,UK
128776003,UK
128776053,UK
128778013,UK
128793113,UK
128793203,UK
128793563,UK
128793593,UK
128794193,UK
128794893,UK
128795913,UK
128892823,UK
128893653,UK
128893833,UK
128895053,UK
129224143,UK
129224713,UK
129224723,UK
129224733,UK
129225503,UK
129225643,UK
129225723,UK
129225763,UK
129226773,x
129226953,x
129227213,x
129227453,x
129227593,x
129228253,UK
129228443,UK
129228463,UK
129228553,UK
129232253,UK
129234123,UK
129236313,UK
129237823,UK
129238423,UK
129238833,UK
129238843,UK
129238853,UK
129238863,UK
129238873,UK
129238883,UK
129238893,UK
129238903,UK
129238913,UK
129238923,UK
129240793,UK
129240803,UK
129240813,UK
129240823,UK
129240833,UK
129243753,UK
129243993,UK
129244103,UK
129534293,UK
129534703,UK
129534763,UK
129534773,UK
129535393,UK
129535403,UK
129600663,UK
129600703,UK
129600763,UK
129684223,UK
129685373,UK
129687123,UK
129687283,UK
129687293,UK
129687303,UK
129687693,UK
129687703,UK
129687713,UK
129822093,Sandy Ono
131971323,UK
131971333,UK
131971343,UK
131971353,UK
131971363,UK
131971373,UK
131971383,UK
131971853,UK
131972233,UK
131972663,UK
132892793,UK
132892863,UK
132893073,UK
132893173,UK
134438473,UK
134438913,UK
134439623,UK
134440023,UK
134671683,UK
134671743,UK
134671863,UK
134671913,UK
134702183,FR
134702193,FR
134702203,FR
134702213,FR
134707943,MX
134707953,MX
134707963,BR
134707973,BR
135409043,UK
135409053,UK
135409523,UK
135409533,UK
135577133,PL
135577583,PL
135579863,TUR
135579953,TUR
135580383,TUR
135582423,ZA
114368986,DACH
119805163,DACH
123241383,DACH
125351163,DACH
125351233,DACH
125352233,DACH
125352313,DACH
127028503,DACH
127028753,DACH
127029203,DACH
127029213,DACH
127030693,DACH
127030703,DACH
127031793,DACH
127031803,DACH
127193163,DACH
127193423,DACH
127194783,DACH
127195433,DACH
127197743,DACH
127197843,DACH
127293773,DACH
127429763,DACH
127430183,DACH
127430203,DACH
127431263,DACH
127431693,DACH
127431703,DACH
127432283,DACH
127432443,DACH
129286423,DACH
129286513,DACH
129287763,DACH
129287863,DACH
129288073,DACH
129312813,DACH
130857303,DACH
131308373,DACH
131380403,DACH
131383223,DACH
131744183,DACH
131977203,DACH
131977213,DACH
131984333,DACH
131984473,DACH
132829183,DACH
132831563,DACH
133225133,DACH
133225203,DACH
133225563,DACH
133225603,DACH
133226883,DACH
133226893,DACH
133226903,DACH
133226913,DACH
134436433,DACH
134436863,DACH
134437303,DACH
134437813,DACH
135254043,DACH
127352643,DACH
127438923,DACH
127440393,DACH
127444423,DACH
127444943,DACH
127446593,DACH
127447203,DACH
128621763,DACH
128622293,DACH
129633453,DACH
129635053,DACH
133218973,DACH
133219213,DACH
124411413,DACH
125278403,DACH
132519513,DACH
132520633,DACH
134803363,DACH
135070043,DACH
123284994,ZA
123285224,ZA
123556824,UAE
123557184,UAE
124389364,ZA
124554084,UAE
124617394,ZA
124617774,ZA
124618014,ZA
124618444,UAE
124618864,UAE
124619054,UAE
126096744,IL
126212254,UAE
126572484,UAE
126572704,UAE
126572884,UAE
126702964,UAE
126703854,UAE
126704054,UAE
126704674,ZA
127180644,ZA
127181134,ZA
127181334,ZA
127182624,UAE
127182684,UAE
127182844,UAE
127715304,PL
129523803,JP
129524043,JP
129524413,JP
129524423,JP
129524763,JP
129524773,JP
129526553,JP
129527003,JP
129527183,JP
129527193,JP
129527723,JP
129527733,JP
132429613,JP
132429793,JP
132429913,JP
132429923,JP
132430903,JP
132430923,JP
132431073,JP
132431143,JP
