Ad ID,Start Date (in UTC),Campaign Name,Campaign Objective,Total Spent,Impressions,Reach,Clicks,Leads,Video Views,Campaign Status
117419203,02/01/2021,UK_Cloud that Comes to You_images_Q1/21,Website visits,0.00 ,0,0,0,0,,Completed
119798193,02/01/2021,UK_Cloud that Comes to You_videos_Q1/21-contact lists,Website visits,0.00 ,0,0,0,0,0,Paused
121570583,02/01/2021,UK_Hybrid Workplace_videos,Website visits,0.00 ,1,0,0,0,0,Paused
123200603,02/01/2021,UK_Hybrid Workplace_videos,Website visits,0.00 ,11,11,0,0,1,Paused
124335683,02/01/2021,UK_Cloud that Comes to You_videos_Q1/21_jobs.tit up 100,Website visits,0.00 ,0,0,0,0,0,Paused
124335703,02/01/2021,UK_Cloud that Comes to You_videos_Q1/21_jobs.tit up 100,Website visits,0.00 ,1,0,0,0,0,Paused
124335713,02/01/2021,UK_Cloud that Comes to You_videos_Q1/21_jobs.tit up 100,Website visits,0.00 ,1,0,0,0,0,Paused
125256603,02/01/2021,AI Bundles (Incremental - Sandy Ono)_15.01.21_contacts,Website visits,1571.14 ,113391,56739,191,0,,Active
125256923,02/01/2021,AI Bundles (Incremental - Sandy Ono)_15.01.21_job titles,Website visits,12000.00 ,226764,91698,778,0,,Completed
125258813,02/01/2021,"UK AMD Transactional (Virtualization)_ Jan 15, 2021_contacts",Website visits,393.51 ,7713,3269,24,0,,Completed
125259083,02/01/2021,"UK AMD Transactional (Virtualization)_ Jan 15, 2021_contacts",Website visits,358.89 ,7979,2995,16,0,,Completed
125273833,02/01/2021,"UK AMD Transactional (Virtualization)_Jan 15, 2021_job titles",Website visits,671.88 ,39646,36271,88,0,,Completed
125274253,02/01/2021,"UK AMD Transactional (Virtualization)_Jan 15, 2021_job titles",Website visits,358.12 ,20314,20314,42,0,,Completed
125282403,02/01/2021,UK AMD Transactional (Rack Server)_15 JAN 21_job titles,Website visits,533.45 ,15123,12688,37,0,,Completed
125282593,02/01/2021,UK AMD Transactional (Rack Server)_15 JAN 21_job titles,Website visits,196.55 ,5056,4366,6,0,,Completed
125284093,02/01/2021,UK AMD Transactional (Rack Server)_15 JAN 21_contacts,Website visits,1326.23 ,68032,52996,112,0,,Active
125284163,02/01/2021,UK AMD Transactional (Rack Server)_15 JAN 21_contacts,Website visits,1467.79 ,65154,48169,118,0,,Active
125284413,02/01/2021,"UK AMD Transactional (Multi-function)_Jan 15, 2021_ job titles",Website visits,731.30 ,39189,34414,59,0,,Completed
125284543,02/01/2021,"UK AMD Transactional (Multi-function)_Jan 15, 2021_ job titles",Website visits,698.70 ,44523,36911,51,0,,Completed
125285263,02/01/2021,"UK AMD Transactional (Multi-function)_Jan 15, 2021_ contacts",Website visits,313.42 ,16852,16819,25,0,,Completed
125285383,02/01/2021,"UK AMD Transactional (Multi-function)_Jan 15, 2021_ contacts",Website visits,436.58 ,21679,21464,37,0,,Completed
127770173,02/01/2021,UK_G1_Cloud that Comes to You_leads_Q2/21_contacts,Lead generation,848.46 ,28191,24744,131,18,,Active
127771813,02/01/2021,UK_G1_Cloud that Comes to You_leads_Q2/21_contacts,Lead generation,1871.44 ,64600,55746,291,8,,Active
127772283,02/01/2021,x,Lead generation,1825.80 ,44381,22946,182,61,,Completed
127772293,02/01/2021,x,Lead generation,201.01 ,8013,6181,20,1,,Completed
127784133,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,99.51 ,7925,7050,15,0,2061,Active
127786513,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,182.95 ,8107,6522,29,0,2126,Active
127787713,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,45.22 ,3499,3313,6,0,902,Active
127790013,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,41.70 ,2602,2537,6,0,700,Active
127791953,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,162.41 ,6049,4285,25,0,1652,Active
127793283,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,192.05 ,6946,5751,15,0,1490,Active
127793293,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,623.35 ,18624,12794,44,0,3846,Active
127793303,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,38.49 ,2617,2475,3,0,734,Active
127793313,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,782.22 ,25137,13863,55,0,5194,Active
127793323,02/01/2021,UK_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,113.02 ,2956,2666,7,0,769,Active
127800273,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,0.00 ,2,0,0,0,,Active
127801193,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,0.00 ,14,14,0,0,,Active
127801573,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_job titles,Lead generation,10.00 ,711,711,1,0,,Active
127801583,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_job titles,Lead generation,0.00 ,224,212,0,0,,Active
127805213,02/01/2021,UK_G6_Reinvent Your Workplace_Forrester_leads_Q2/21_contacts,Lead generation,114.19 ,2608,1159,15,1,,Active
127809973,02/01/2021,UK_G6_Reinvent Your Workplace_Forrester_leads_Q2/21_job titles,Lead generation,1523.03 ,41031,24402,124,11,,Completed
127818043,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,6.87 ,596,457,1,0,,Active
127818403,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_job titles,Lead generation,130.84 ,5515,5127,18,2,,Active
128748653,02/01/2021,x,Website visits,247.82 ,26400,19478,35,0,,Paused
128749713,02/01/2021,x,Website visits,380.71 ,41074,29525,53,0,,Paused
128771453,02/01/2021,UK_G6_Hybrid Workplace_videos_Q2/21_contacts,Website visits,900.00 ,32700,21126,126,0,6177,Completed
128772273,02/01/2021,UK_G6_Hybrid Workplace_videos_Q2/21_job titles,Website visits,180.30 ,13034,6978,21,0,2159,Active
128774513,02/01/2021,UK_G6_Hybrid Workplace_images_Q2/21_contacts,Website visits,53.06 ,6183,5273,9,0,,Completed
128774773,02/01/2021,UK_G6_Hybrid Workplace_images_Q2/21_contacts,Website visits,84.24 ,6288,5660,11,0,,Completed
128775103,02/01/2021,UK_G6_Hybrid Workplace_images_Q2/21_contacts,Website visits,103.84 ,7158,6211,16,0,,Completed
128775543,02/01/2021,UK_G6_Hybrid Workplace_images_Q2/21_contacts,Website visits,573.86 ,25890,18051,82,0,,Completed
128775913,02/01/2021,UK_G6_Hybrid Workplace_images_Q2/21_job titles,Website visits,186.89 ,9523,7240,18,0,,Completed
128775953,02/01/2021,UK_G6_Hybrid Workplace_images_Q2/21_job titles,Website visits,343.14 ,14111,9365,32,0,,Completed
128776003,02/01/2021,UK_G6_Hybrid Workplace_images_Q2/21_job titles,Website visits,202.35 ,10502,7730,18,0,,Completed
128776053,02/01/2021,UK_G6_Hybrid Workplace_images_Q2/21_job titles,Website visits,82.62 ,5502,4034,8,0,,Completed
128778013,02/01/2021,UK_G6_Reinvent Your Workplace_Forrester_leads_Q2/21_job titles,Lead generation,776.97 ,22798,16298,64,3,,Completed
128793113,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,0.00 ,12,12,0,0,,Active
128793203,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,0.00 ,4,4,0,0,,Active
128793563,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_job titles,Lead generation,31.20 ,6594,5377,4,0,,Active
128793593,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_job titles,Lead generation,430.73 ,20277,12896,55,7,,Active
128794193,02/01/2021,UK_G6_Reinvent Your Workplace_Forrester_leads_Q2/21_contacts,Lead generation,123.94 ,3631,1250,16,1,,Active
128794893,02/01/2021,UK_G6_Reinvent Your Workplace_Forrester_leads_Q2/21_contacts,Lead generation,151.26 ,4758,1474,21,0,,Active
128795913,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,0.00 ,11,10,0,0,,Active
128892823,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,24.48 ,1193,747,3,0,,Active
128893653,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,22.73 ,1132,649,3,1,,Active
128893833,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_contacts,Lead generation,94.55 ,1886,902,13,5,,Active
128895053,02/01/2021,UK_G6_Reinvent Your Workplace_Gorilla_leads_Q2/21_job titles,Lead generation,285.46 ,14713,9416,37,5,,Active
129224143,02/01/2021,UK_G1_Cloud that Comes to You_leads_Q2/21_contacts,Lead generation,288.28 ,9474,9474,42,0,,Active
129224713,02/01/2021,UK_G1_Cloud that Comes to You_leads_Q2/21_accounts,Lead generation,847.09 ,33850,25695,132,13,,Completed
129224723,02/01/2021,UK_G1_Cloud that Comes to You_leads_Q2/21_accounts,Lead generation,354.15 ,17300,15488,59,0,,Completed
129224733,02/01/2021,UK_G1_Cloud that Comes to You_leads_Q2/21_accounts,Lead generation,254.55 ,19461,17963,53,3,,Completed
129225503,02/01/2021,UK_G1_Cloud that Comes to You_leads_Q2/21_accounts,Lead generation,28.49 ,4258,4222,7,0,,Completed
